Specimen_ID	LaborNr	Species_epithet	ITS_PUBLIC	Species name	ITS_good_sequence	ITS_good_ID	ITS_good_PCR_PRIMER	LAT_full	LONG_full	LAT_rounded	LONG_rounded	COORD_FROM	Host	Substrate	Habitat	Country	Region.Province.State.District	Subregion.Municipality	Locality.text	Date_of_collecting	Collector	Collector.ID	Specimen.location	Specimen_all_data	GBIF_occurrence_page
KAS_GEL_3550	92	longisporum	MN207037	Subulicystidium longisporum	yes			24.091197	121.033728	24.0912	121.0337	map				Taiwan	Nantou		Huisun Recreation Area, path to the stone frog	26 Apr 1996	G.Langer, E.Langer & C.-J.Chen	GEL 3550	KAS	Taiwan. Nantou: , Huisun Recreation Area, path to the stone frog, 24.0912, 121.0337, on  of , 26 Apr 1996, G.Langer, E.Langer & C.-J.Chen (GEL 3550 in KAS).	
KAS_MS_4617	153	longisporum	MW711729	Subulicystidium longisporum	YES			51.2927778	9.717777778	51.2928	9.7178	gps				Germany	Hesse	Hessisch Lichtenau	Naturwaldreservt, NiestehÃ¤nge	8 Oct 2014	M.Striegel	4617	KAS	Germany. Hesse: Hessisch Lichtenau, Naturwaldreservt, NiestehÃ¤nge, 51.2928, 9.7178, on  of , 8 Oct 2014, M.Striegel (4617 in KAS).	
CWU_6737	88	longisporum	MN207038	Subulicystidium longisporum	David_7	CWU_6737_ITS1f-ITS4_ID85BB28-29_wb1975327	ITS1f; ITS4	48.26324	23.61751	48.2632	23.6175	gps				Ukraine	Zakarpatska	Tiachiv	Carpathian Biosphere Reserve, vicinities of Mala Uholka village, 670 m	11 Sep 2013	A.Ordynets		CWU 6737	Ukraine. Zakarpatska: Tiachiv, Carpathian Biosphere Reserve, vicinities of Mala Uholka village, 670 m, 48.2632, 23.6175, on  of , 11 Sep 2013, A.Ordynets ( in CWU 6737).	
KAS_GEL_4878	94	longisporum	MW711726	Subulicystidium tropicum	NA	NA	NA	-21.12885525	55.57162106	-21.1289	55.5716	map				RÃ©union	Saint-Benoit	Saint-Benoit	Route forestiÃ¨re 2 BÃ¨bour-BÃ©louve before Col de BÃ©bour, ravine, 1330 m	18 Mar 1998	G.Langer, E.Langer & E.Hennen	GEL 4878	KAS	RÃ©union. Saint-Benoit: Saint-Benoit, Route forestiÃ¨re 2 BÃ¨bour-BÃ©louve before Col de BÃ©bour, ravine, 1330 m, -21.1289, 55.5716, on  of , 18 Mar 1998, G.Langer, E.Langer & E.Hennen (GEL 4878 in KAS).	
KAS_GEL_3677	93	obtusisporum	MW711725	Subulicystidium inornatum			ITS1f;ITS4	23.4800751	120.4491113	23.4801	120.4491	map		dead wood		Taiwan	Chiayi		Shi Ding, road No. 18 in direction to Alishan at km 60, ca 1500 m alt	1 May 1996	G.Langer, E.Langer & C.-J.Chen	GEL 3677	KAS	Taiwan. Chiayi: , Shi Ding, road No. 18 in direction to Alishan at km 60, ca 1500 m alt, 23.4801, 120.4491, on dead wood of , 1 May 1996, G.Langer, E.Langer & C.-J.Chen (GEL 3677 in KAS).	
KHL_9955	180	obtusisporum	MW711728	Subulicystidium inornatum			ITS1f;ITS4	18.3161111	-65.74666667	18.3161	-65.7467	gps	angiosperm tree	branch		Puerto Rico		Municipio Luquillo	Luquillo Mts, Bisley Experimental Watersheds, along track from parking place, 215 m a.s.l.	6 Jun 1997	K.-H.Larsson	KHL 9955	GB	Puerto Rico. : Municipio Luquillo, Luquillo Mts, Bisley Experimental Watersheds, along track from parking place, 215 m a.s.l., 18.3161, -65.7467, on branch of angiosperm tree, 6 Jun 1997, K.-H.Larsson (KHL 9955 in GB).	
KAS_L_1226	61	parvisporum	MH041528	Subulicystidium parvisporum	Sasha_2015	Ord_L1226_ITS4_rc_54EF10_finch.fas	ITS4	-21.1031111	55.69263889	-21.1031	55.6926	map		dead wood		RÃ©union	Saint-Benoit	Saint-Benoit	ForÃªt Margarithe, ca 450 m	24 Mar 2015	J.Riebesehl	L 1226	KAS	RÃ©union. Saint-Benoit: Saint-Benoit, ForÃªt Margarithe, ca 450 m, -21.1031, 55.6926, on dead wood of , 24 Mar 2015, J.Riebesehl (L 1226 in KAS).	
KAS_L_0140	64	parvisporum	MH041529	Subulicystidium parvisporum	Sasha_2015	L0140_contig_ITS1-ITS4_54EF75-54EF76_TRIMMED.fas	ITS1; ITS4	-21.12319	55492	-21.1232	55.4920	gps		strongly decayed wood	Ebenaceen-/Sterculiaceenwald	RÃ©union	Saint-Pierre	Cilaos	Cirque de Cilaos, Roche Merveilleux, Sentiere botanique, 1300 m	15 Mar 2013	E.Langer	L 0140	KAS	RÃ©union. Saint-Pierre: Cilaos, Cirque de Cilaos, Roche Merveilleux, Sentiere botanique, 1300 m, -21.1232, 55.4920, on strongly decayed wood of , 15 Mar 2013, E.Langer (L 0140 in KAS).	
KAS_GEL_5032	56	parvisporum	MH041530	Subulicystidium parvisporum	Felix_4_p4	GEL_5032_ITS1_id90FA92_wb1851507	ITS1; ALRO	-21.255900	55.5987	-21.2559	55.5987	map		dead wood		RÃ©union	Saint-Pierre	le Tampon	Notre dame de la Paix, Foret de la Riviere des Remparts, Sentier Botanique	23 Mar 1998	E.Langer & E.Hennen	GEL 5032	KAS	RÃ©union. Saint-Pierre: le Tampon, Notre dame de la Paix, Foret de la Riviere des Remparts, Sentier Botanique, -21.2559, 55.5987, on dead wood of , 23 Mar 1998, E.Langer & E.Hennen (GEL 5032 in KAS).	
LY_11631	106	perlongisporum 1	MN207054	Subulicystidium perlongisporum 1	Robert			-21.1836568	55.8268819	na	na	map	Terminalia cattapa			RÃ©union	Saint-Benoit	Sainte Rose	Anse des Cascades, niveau de la mer, ca 0 m	6 May 1985	J.Boidin		LY 11631	RÃ©union. Saint-Benoit: Sainte Rose, Anse des Cascades, niveau de la mer, ca 0 m, na, na, on  of Terminalia cattapa, 6 May 1985, J.Boidin ( in LY 11631).	
KAS_GEL_3681	167	perlongisporum 1	MN207049	Subulicystidium perlongisporum 1	Robert			23.4800751	120.4491113	23.4801	120.4491	map				Taiwan	Chiayi		Shi Ding, road No. 18 in direction to Alishan at km 60, ca 1500 m alt	1 May 1996	G.Langer, E.Langer & C.-J.Chen	GEL 3681	KAS	Taiwan. Chiayi: , Shi Ding, road No. 18 in direction to Alishan at km 60, ca 1500 m alt, 23.4801, 120.4491, on  of , 1 May 1996, G.Langer, E.Langer & C.-J.Chen (GEL 3681 in KAS).	
KHL_9943	118	perlongisporum 1	MN207051	Subulicystidium perlongisporum 1	Robert+Mila			18.4166667	-68.86666667	18.4167	-68.8667	gps	angiosperm tree	wood	on the ground	Dominican Republic	Provincia La Romana		RÃ­o ChavÃ³n, Represa RÃ­o ChavÃ³n La Romana	4 Jun 1997	K.-H.Larsson	KHL 9943	GB	Dominican Republic. Provincia La Romana: , RÃ­o ChavÃ³n, Represa RÃ­o ChavÃ³n La Romana, 18.4167, -68.8667, on wood of angiosperm tree, 4 Jun 1997, K.-H.Larsson (KHL 9943 in GB).	
ARAN_04160	190	perlongisporum 2	MN207057	Subulicystidium perlongisporum 2	yes	Sasha 201906	ITS1f; ITS4	43264	-2.07	43264	-2.07	gps	Pinus sp.	Sobre madera trabajada, tabla		Spain	Gipuzkoa		Usurbil, Usurbil-Igartzabal	1 Sept 2016	J.M.Riezu 		ARAN:Fungi 4160	Spain. Gipuzkoa: , Usurbil, Usurbil-Igartzabal, 43.264, -2.07, on Sobre madera trabajada, tabla of Pinus sp., 1 Sept 2016, J.M.Riezu  ( in ARAN:Fungi 4160).	https://www.gbif.org/occurrence/1901115266
KAS_L_0103	123	perlongisporum 2	MN207058	Subulicystidium perlongisporum 2	Ludmila			-21.12319	55492	-21.1232	55.4920	gps		log		RÃ©union	Saint Pierre	Cilaos	Cirque de Cilaos, Roche Merveilleux, Sentiere botanique, 1300 m	15 Mar 2013	E.Langer	L 0103	KAS	RÃ©union. Saint Pierre: Cilaos, Cirque de Cilaos, Roche Merveilleux, Sentiere botanique, 1300 m, -21.1232, 55.4920, on log of , 15 Mar 2013, E.Langer (L 0103 in KAS).	
Ordynets_00158	79	perlongisporum 2	MN207056	Subulicystidium perlongisporum 2	David_7	Ordynets_00158_ITS1f-ITS4_id85BB18-19_wb1975327	ITS1f; ITS4	50541	8.3037	50.5410	8.3037	gps				Germany	Hesse	Biedenkopf	little valley of Martinsbach creek, mixed forest 280 m	23 Apr 2016	A.Ordynets & M.Theiss	Ordynets 00158	KAS	Germany. Hesse: Biedenkopf, little valley of Martinsbach creek, mixed forest 280 m, 50.5410, 8.3037, on  of , 23 Apr 2016, A.Ordynets & M.Theiss (Ordynets 00158 in KAS).	
KHL_10780	NA	robustius	AY463468	Subulicystidium robustius	yes	NA	NA	18.3563889	-77.64722222	18.3564	-77.6472	gps	angiosperm tree	stem		Jamaica	Cornwall County	Trelawny parish	Windsor Cave, along trail to Troy	13 Jun 1999	K.-H.Larsson	KHL 10780	GB	Jamaica. Cornwall County: Trelawny parish, Windsor Cave, along trail to Troy, 18.3564, -77.6472, on stem of angiosperm tree, 13 Jun 1999, K.-H.Larsson (KHL 10780 in GB).	
KHL_10272	17	robustius	MH041516	Subulicystidium robustius	Sasha_2016_p0	KHL_10272_ITS1f_55IC27_finch.seq	ITS1f; ITS4	18.3233333	-65.81722222	18.3233	-65.8172	gps		log	on the ground	Puerto Rico		Municipio Rio Grande	Luquillo Mts, El Verde Research Area, between Field Station and 16-hectare grid, 320-380 m	7 Jun 1998	K.-H.Larsson	KHL 10272	GB	Puerto Rico. : Municipio Rio Grande, Luquillo Mts, El Verde Research Area, between Field Station and 16-hectare grid, 320-380 m, 18.3233, -65.8172, on log of , 7 Jun 1998, K.-H.Larsson (KHL 10272 in GB).	
KHL_10813	19	robustius	MH041514	Subulicystidium robustius	Sasha_2016_p0	KHL10813_ITS1f_55IC58_finch.fas	ITS1f; ITS4	18.3563889	-77.64722222	18.3564	-77.6472	gps	angiosperm tree	trunk	on the ground	Jamaica	Cornwall County	Trelawny parish	Windsor Cave, along trail to Troy	13 Jun 1999	K.-H.Larsson	KHL 10813	GB	Jamaica. Cornwall County: Trelawny parish, Windsor Cave, along trail to Troy, 18.3564, -77.6472, on trunk of angiosperm tree, 13 Jun 1999, K.-H.Larsson (KHL 10813 in GB).	
KHL_14333	104	longisporum	MW711723	Subulicystidium tropicum	YES	KHL_14333_ITS1-ITS4_ID69GA69-70_wb2008874	NA	-24.9528589	47.0027914	-24.9529	47.0028	map	angiosperm tree	wood		Madagascar	Toliaro	Tolagnaro	Mandena Conservation Zone	11 Mar 2010	K.-H.Larsson	KHL 14333	O:F	Madagascar. Toliaro: Tolagnaro, Mandena Conservation Zone, -24.9529, 47.0028, on wood of angiosperm tree, 11 Mar 2010, K.-H.Larsson (KHL 14333 in O:F).	
