Species_ID,Image_ID,Specimen_ID,PC1_symm_mean,PC1_asym_mean,PC2_asym_mean,PC3_asym_mean,PC1_glob_mean,PC2_glob_mean,Length_mean,Width_mean,Length_to_width_ratio_mean,N_spores
tropicum,KAS_GEL_4878_img029_rev,KAS_GEL_4878,-0.04235258,-0.02952609,-0.01412958,-0.01873267,-0.04739944,0.02211582,15.41,3.06,5.04,1
tropicum,KAS_GEL_4878_img030_rev,KAS_GEL_4878,-0.01125084,0.0114538,-0.01796203,-0.008162329,-0.008556733,-0.01294184,13.43,3.08,4.36,1
tropicum,KAS_GEL_4878_img031_rev,KAS_GEL_4878,-0.07207643,-0.02031427,-0.01533768,-0.009142716,-0.07466631,0.005614497,15.18,2.94,5.16,1
tropicum,KAS_GEL_4878_img032_1,KAS_GEL_4878,0.038501,-0.006656911,-0.01053885,-0.00559771,0.03629167,0.01526837,10.67,3.06,3.49,1
tropicum,KAS_GEL_4878_img034_rev,KAS_GEL_4878,-0.05758887,-0.0268005,-0.009194645,-0.006114059,-0.06186171,0.01531696,15.11,3.08,4.91,1
tropicum,KAS_GEL_4878_img038_rev,KAS_GEL_4878,-0.05730707,-0.05787889,-0.004509713,-0.001615474,-0.06809015,0.04490285,14.7,2.92,5.03,1
tropicum,KAS_GEL_4878_img039_rev,KAS_GEL_4878,0.002693302,-0.02243397,-0.005654402,0.006278044,-0.002149455,0.02277528,12.02,2.95,4.07,1
parvisporum,KAS_GEL_5032_01_rev,KAS_GEL_5032,0.2379679,0.07771717,0.009524612,-0.01576857,0.2491611,-0.02606234,5.49,2.39,2.3,1
parvisporum,KAS_GEL_5032_03_rev,KAS_GEL_5032,0.1702745,0.04211663,0.01145217,-0.002421113,0.1753651,-0.006323657,6.18,2.38,2.6,1
parvisporum,KAS_GEL_5032_06_rev,KAS_GEL_5032,0.2492641,0.04819117,0.01336041,-0.004821025,0.2538869,0.004800574,5.22,2.28,2.29,1
parvisporum,KAS_GEL_5032_07_1x,KAS_GEL_5032,0.1529555,0.04714245,0.006935438,0.003715123,0.1593796,-0.01569355,6.55,2.36,2.78,1
parvisporum,KAS_GEL_5032_09_rev,KAS_GEL_5032,0.1924794,0.06998834,0.01431337,0.002452008,0.2028149,-0.02969671,5.86,2.33,2.52,1
parvisporum,KAS_GEL_5032_10_rev,KAS_GEL_5032,0.2301878,0.08815565,0.008970932,-0.009240072,0.2436087,-0.03914634,5.49,2.28,2.41,1
parvisporum,KAS_GEL_5032_12_1xT,KAS_GEL_5032,0.2191604,0.07958039,0.00325884,-0.005530993,0.2309949,-0.03286385,5.3,2.36,2.25,1
parvisporum,KAS_GEL_5032_14_rev,KAS_GEL_5032,0.1864868,0.08368832,0.0175935,-0.001256761,0.1998711,-0.04399429,6.4,2.44,2.62,1
parvisporum,KAS_GEL_5032_16_1x,KAS_GEL_5032,0.2492417,0.09010049,0.01476608,-0.009150188,0.2626787,-0.03560018,5.4,2.43,2.22,1
parvisporum,KAS_GEL_5032_18_1x,KAS_GEL_5032,0.2090446,0.1131579,0.01622257,-0.008878531,0.2281636,-0.06623931,6.03,2.43,2.48,1
parvisporum,KAS_GEL_5032_20_1x,KAS_GEL_5032,0.265492,0.08076497,0.02315988,-0.001869276,0.2765638,-0.02447191,5.06,2.35,2.15,1
parvisporum,KAS_GEL_5032_21_rev,KAS_GEL_5032,0.2441394,0.07929488,0.02608058,4.719954e-4,0.255346,-0.02831848,5.65,2.27,2.49,1
parvisporum,KAS_GEL_5032_28_1x,KAS_GEL_5032,0.2278018,0.0904915,0.01778787,-0.01160867,0.2418353,-0.04149567,5.59,2.37,2.36,1
perlongisporum_2,KAS_L_0103_20180424_1,KAS_L_0103,-0.1782883,-0.09689456,0.02537585,-0.01277355,-0.1942405,0.05894729,19.1,2.05,9.32,1
perlongisporum_2,KAS_L_0103_20180424_10,KAS_L_0103,-0.1655073,-0.06848002,0.01347163,0.008636229,-0.1761867,0.03188554,19.36,2.2,8.8,1
perlongisporum_2,KAS_L_0103_20180424_11,KAS_L_0103,-0.1733143,-0.01296254,0.004338475,0.02276909,-0.1724836,-0.02546944,18.99,2.11,9,1
perlongisporum_2,KAS_L_0103_20180424_12,KAS_L_0103,-0.1851548,0.01145251,-0.01195252,-0.01072256,-0.1785975,-0.04893069,20.73,2.06,10.06,1
perlongisporum_2,KAS_L_0103_20180424_13,KAS_L_0103,-0.178082,-0.1008572,0.03507196,0.01713108,-0.1951905,0.06057013,20.94,2.24,9.35,1
perlongisporum_2,KAS_L_0103_20180424_2,KAS_L_0103,-0.1793127,-0.05543348,0.01160351,-0.008646715,-0.1867568,0.01771331,20.21,2.33,8.67,1
perlongisporum_2,KAS_L_0103_20180424_4,KAS_L_0103,-0.1750025,-0.04294717,0.01204838,-0.001390277,-0.1800119,0.005915909,19.79,2,9.89,1
perlongisporum_2,KAS_L_0103_20180424_9,KAS_L_0103,-0.1639116,-0.06055593,0.002838623,-0.009403249,-0.1727777,0.02596309,20,2.33,8.58,1
perlongisporum_2,KAS_L_0103_20190626_002,KAS_L_0103,-0.1747786,-0.03723805,0.00756074,-0.005214908,-0.1785917,4.824287e-4,20.02,2.12,9.44,1
perlongisporum_2,KAS_L_0103_20190626_004,KAS_L_0103,-0.16243,-0.05477491,0.009558355,-0.00318993,-0.1701897,0.01992982,19.02,2.16,8.81,1
perlongisporum_2,KAS_L_0103_20190626_007,KAS_L_0103,-0.178603,-0.01169619,0.004075316,0.01463099,-0.1772668,-0.02691341,20.35,1.95,10.44,1
perlongisporum_2,KAS_L_0103_20190626_008,KAS_L_0103,-0.1789393,-0.0460003,0.008473392,0.001323633,-0.1845412,0.007721338,20.25,1.98,10.23,1
perlongisporum_2,KAS_L_0103_20190626_009,KAS_L_0103,-0.1765963,-0.04059988,0.02442504,-0.009630307,-0.1808795,0.004124643,20.96,2.06,10.17,1
perlongisporum_2,KAS_L_0103_20190626_010,KAS_L_0103,-0.1738108,0.03279841,0.00375875,0.01899637,-0.1633722,-0.06990318,19.13,2.05,9.33,1
perlongisporum_2,KAS_L_0103_20190626_011,KAS_L_0103,-0.1858771,-0.05463925,-0.003369883,-0.01344507,-0.193014,0.01527655,19.69,2.05,9.6,1
perlongisporum_2,KAS_L_0103_20190626_012,KAS_L_0103,-0.1734916,-0.02276185,0.01169323,0.007539351,-0.1744684,-0.01423824,19.47,1.93,10.09,1
perlongisporum_2,KAS_L_0103_20190626_014,KAS_L_0103,-0.1705231,-0.054362099999999997,0.01624087,4.774624e-4,-0.1780072,0.01784636,19.75,2.19,9.02,1
perlongisporum_2,KAS_L_0103_20190626_015,KAS_L_0103,-0.1852373,0.04622669,0.01659729,0.02665186,-0.1718312,-0.08562175,19.79,1.83,10.81,1
parvisporum,KAS_L_0140_01_1x,KAS_L_0140,0.25035655,0.04845529,0.013928224999999999,-0.0029290985000000004,0.25504875,0.004067265000000002,5.105,2.35,2.17,2
parvisporum,KAS_L_0140_02_3x,KAS_L_0140,0.3049357,0.09139749,0.017783859,-0.011993318,0.3174745666666667,-0.025327533,5.25,2.433333333333333,2.1666666666666665,3
parvisporum,KAS_L_0140_02_rev,KAS_L_0140,0.2684107,0.05903867,0.01075719,-0.007933703,0.2749521,-0.001656219,5.36,2.49,2.15,1
parvisporum,KAS_L_0140_03_rev,KAS_L_0140,0.2731029,0.06795489,0.0185213,-0.01369166,0.2815666,-0.007561541,5.36,2.61,2.05,1
parvisporum,KAS_L_0140_04_1x,KAS_L_0140,0.2317592,0.06798865,0.008606371,-0.01595342,0.2411047,-0.01710611,5.8,2.45,2.37,1
parvisporum,KAS_L_0140_04_rev,KAS_L_0140,0.2887628,0.099285155,0.0242213,-0.01727141,0.30340924999999996,-0.03577896,5.4399999999999995,2.5650000000000004,2.125,2
parvisporum,KAS_L_0140_05_3x,KAS_L_0140,0.218238,0.04064024,0.0049272312500000005,-0.004012746625,0.22199415,0.00535422275,5.475,2.3025,2.4025,4
parvisporum,KAS_L_0140_06_rev,KAS_L_0140,0.2400302,0.09258296,0.0135792,-0.008993675,0.2541702,-0.04083224,5.09,2.34,2.18,1
parvisporum,KAS_L_0140_07_2x,KAS_L_0140,0.2814587,0.06260445,0.0074245295,-0.013166475,0.2884926,-0.00181709355,5.135,2.5,2.06,2
parvisporum,KAS_L_0140_11_1x,KAS_L_0140,0.2012546,0.03076442,-0.002198165,-0.00936568,0.2033502,0.01145166,5.31,2.1,2.53,1
parvisporum,KAS_L_0140_12_1x,KAS_L_0140,0.3211687,0.07102608,0.009428308,-0.016089,0.3291264,-0.001466818,5.25,2.67,1.97,1
parvisporum,KAS_L_0140_14_rev,KAS_L_0140,0.2081457,0.03898689,-0.005673403,-0.01127521,0.2118418,0.004469967,5.51,2.24,2.46,1
